Name,Ashok Shankarrao Chavan,,Prataprao Patil Chikhalikar,Bhinge Yashpal Narsinghrao,NOTA,Total
1,Shingarava,252,51.53%,199,40.70%,33,6.75%,0,489
2,Bhogaon,322,62.16%,140,27.03%,49,9.46%,2,518
3,Bhogaon,204,38.56%,140,26.47%,177,33.46%,1,529
4,Delub khu.,147,36.75%,238,59.50%,6,1.50%,3,400
5,Delub Bu,402,65.26%,172,27.92%,31,5.03%,1,616
6,Delub Bk,192,34.35%,131,23.43%,220,39.36%,2,559
7,Pardi(M),218,40.30%,293,54.16%,14,2.59%,6,541
8,Pardi(M),178,40.92%,232,53.33%,17,3.91%,1,435
9,Pardi(M),320,37.25%,503,58.56%,10,1.16%,7,859
10,Karwadi,63,28.90%,126,57.80%,24,11.01%,0,218
11,Bhurabhus,284,44.72%,294,46.30%,42,6.61%,0,635
12,Maldari,103,39.02%,137,51.89%,16,6.06%,2,264
13,Amthana,255,40.67%,357,56.94%,2,0.32%,5,627
14,Nekali,233,50.11%,200,43.01%,18,3.87%,1,465
15,Devthana,85,24.01%,191,53.95%,63,17.80%,1,354
16,Devthana,136,31.92%,233,54.69%,37,8.69%,1,426
17,Devthana,111,39.36%,169,59.93%,1,0.35%,0,282
18,Masalga,160,28.07%,366,64.21%,24,4.21%,4,570
19,Somthana,199,40.37%,251,50.91%,11,2.23%,2,493
20,Somthana,128,27.47%,301,64.59%,19,4.08%,1,466
21,Theraban,178,34.30%,275,52.99%,52,10.02%,1,519
22,Theraban,319,56.16%,214,37.68%,15,2.64%,5,568
23,Dhavari Bu.,85,13.91%,279,45.66%,236,38.63%,2,611
24,Dhavari,104,20.12%,382,73.89%,1,0.19%,4,517
25,Pangari,405,61.83%,219,33.44%,26,3.97%,0,655
26,Sheni,204,37.02%,246,44.65%,91,16.52%,2,551
27,Sheni,187,33.88%,332,60.14%,23,4.17%,0,552
28,Umri,229,29.62%,215,27.81%,306,39.59%,2,773
29,Umri,292,39.73%,383,52.11%,36,4.90%,3,735
30,Dhamdhri,383,43.87%,222,25.43%,258,29.55%,2,873
31,Sawargaon,315,37.15%,389,45.87%,134,15.80%,2,848
32,Kondha,384,46.15%,421,50.60%,10,1.20%,4,832
33,Kondha,190,28.02%,301,44.40%,172,25.37%,0,678
34,Ardhapur,357,46.61%,120,15.67%,252,32.90%,4,766
35,Ardhapur,316,44.95%,111,15.79%,259,36.84%,5,703
36,Ardhapur,368,54.28%,70,10.32%,211,31.12%,10,678
37,Ardhapur,582,82.67%,6,0.85%,95,13.49%,10,704
38,Ardhapur,433,67.45%,39,6.07%,151,23.52%,5,642
39,Ardhapur,478,77.10%,38,6.13%,84,13.55%,6,620
40,Ardhapur,465,78.68%,22,3.72%,87,14.72%,9,591
41,Ardhapur,349,65.85%,84,15.85%,78,14.72%,6,530
42,Ardhapur,218,42.91%,260,51.18%,17,3.35%,3,508
42A,ARDHAPUR,324,74.83%,46,10.62%,38,8.78%,13,433
43,Ardhapur,396,48.06%,326,39.56%,79,9.59%,6,824
44,Ardhapur,128,21.73%,433,73.51%,11,1.87%,6,589
44A,Ardhapur,168,31.64%,328,61.77%,25,4.71%,0,531
45,Ardhapur,134,29.39%,131,28.73%,179,39.25%,5,456
45A,Ardhapur,172,36.83%,220,47.11%,58,12.42%,5,467
46,Ardhapur,159,23.87%,338,50.75%,153,22.97%,4,666
47,Ardhapur,152,28.73%,180,34.03%,181,34.22%,8,529
48,Ardhapur,229,34.33%,317,47.53%,102,15.29%,3,667
49,Ardhapur,97,27.79%,44,12.61%,196,56.16%,3,349
50,Ardhapur,316,37.05%,413,48.42%,101,11.84%,3,853
51,Ardhapur,363,50.84%,239,33.47%,83,11.62%,15,714
52,Ardhapur,200,41.07%,209,42.92%,71,14.58%,3,487
53,Loni(Bk),317,43.19%,315,42.92%,94,12.81%,4,734
54,Loni(Bk),305,48.57%,278,44.27%,34,5.41%,3,628
55,Lahan,426,51.70%,362,43.93%,6,0.73%,7,824
56,Lahan,302,43.70%,106,15.34%,275,39.80%,1,691
57,Lahan,219,43.03%,249,48.92%,29,5.70%,5,509
58,Lahan,236,41.62%,147,25.93%,168,29.63%,4,567
59,Lahan,286,58.73%,118,24.23%,69,14.17%,3,487
60,Chenapur,346,55.10%,138,21.97%,128,20.38%,5,628
61,Chenapur,414,74.73%,75,13.54%,57,10.29%,2,554
62,Patnur,306,43.28%,206,29.14%,187,26.45%,4,707
63,Patnur,230,39.18%,258,43.95%,87,14.82%,3,587
64,Gopitanda,136,31.34%,269,61.98%,4,0.92%,6,434
65,Savaraganv,287,56.50%,217,42.72%,0,0.00%,1,508
66,PakiMal,220,36.97%,363,61.01%,1,0.17%,2,595
67,Kini,235,36.89%,382,59.97%,1,0.16%,2,637
68,KINI,169,26.08%,363,56.02%,104,16.05%,3,648
69,KINI,171,26.55%,420,65.22%,34,5.28%,3,644
70,PALAJ,142,31.14%,299,65.57%,2,0.44%,3,456
71,PALAJ,155,39.44%,227,57.76%,4,1.02%,1,393
72,PALAJ,195,28.93%,367,54.45%,84,12.46%,4,674
73,NANDA,113,25.74%,319,72.67%,0,0.00%,2,439
74,KOLGAON,185,34.13%,317,58.49%,26,4.80%,4,542
75,RENAPUR,209,41.97%,189,37.95%,93,18.67%,0,498
76,RENAPUR,226,41.85%,232,42.96%,75,13.89%,1,540
77,BORAGANV,133,27.71%,251,52.29%,83,17.29%,2,480
78,BORAGANV,145,31.12%,264,56.65%,47,10.09%,4,466
79,DHANORA,197,24.23%,561,69.00%,40,4.92%,1,813
80,AMADARI,330,62.98%,144,27.48%,17,3.24%,8,524
81,AMADARI,180,37.34%,226,46.89%,53,11.00%,6,482
82,VAKAD,561,61.72%,236,25.96%,54,5.94%,10,909
83,Loni(kh),245,34.80%,333,47.30%,112,15.91%,2,704
84,Loni(kh),178,25.18%,37,5.23%,472,66.76%,1,707
85,Loni(kh),107,32.13%,153,45.95%,69,20.72%,0,333
86,Ganpur,120,25.05%,303,63.26%,50,10.44%,1,479
87,Ganpur,101,22.35%,305,67.48%,39,8.63%,0,452
88,Malegaon,267,35.36%,177,23.44%,306,40.53%,0,755
89,Malegaon,323,47.15%,346,50.51%,4,0.58%,1,685
90,Malegaon,279,40.73%,275,40.15%,129,18.83%,0,685
91,Malegaon,156,41.94%,152,40.86%,60,16.13%,0,372
92,Malegaon,356,43.00%,327,39.49%,124,14.98%,6,828
93,Malegaon,300,39.11%,254,33.12%,189,24.64%,5,767
94,Degaon,284,37.03%,384,50.07%,77,10.04%,3,767
95,Degaon,248,35.43%,320,45.71%,124,17.71%,3,700
96,Degaon,365,60.53%,189,31.34%,44,7.30%,4,603
97,Kamtha bu,348,44.96%,394,50.90%,17,2.20%,4,774
98,Kamtha bu,224,31.02%,127,17.59%,365,50.55%,2,722
99,Kamtha bu,353,43.74%,329,40.77%,112,13.88%,2,807
100,Kmatha Bk.,196,32.40%,224,37.02%,173,28.60%,5,605
101,Sangavi,159,33.97%,252,53.85%,45,9.62%,1,468
102,Belasar,763,81.17%,155,16.49%,8,0.85%,4,940
103,Ambegaon,554,67.31%,193,23.45%,47,5.71%,13,823
104,Nageli,509,67.78%,225,29.96%,6,0.80%,6,751
105,Tirkaswadi,417,55.67%,308,41.12%,5,0.67%,3,749
106,kharabi,336,55.08%,209,34.26%,56,9.18%,1,610
