
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
1,Akkalkuwa ,1 ADV. K. C. PADAVI,MALE,INC,82509,261,82770,41.26%,278888,
1,Akkalkuwa ,2 AAMSHYA FULJI PADAVI,MALE,SHS,80532,142,80674,40.21%,278888,
1,Akkalkuwa ,3 NAGESH DILVARSING PADVI,MALE,IND,21583,81,21664,10.80%,278888,
1,Akkalkuwa ,4 NOTA,,NOTA,4856,1,4857,2.42%,278888,
1,Akkalkuwa ,5 ADV. KAILAS PRATAPSING VASAVE,MALE,AAAP,4034,21,4055,2.02%,278888,
1,Akkalkuwa ,6 BHARAT JALYA PAWARA,MALE,IND,3782,2,3784,1.89%,278888,
1,Akkalkuwa ,7 DR.SANJAY RAVLYA VALVI,MALE,BTP,2808,16,2824,1.41%,278888,
 TOTAL : ,,,,,200104,524,200628,71.94%,,
2,Shahada ,1 Rajesh Udesing Padvi,MALE,BJP,94405,526,94931,45.12%,320555,
2,Shahada ,2 Adv.Padmakar Vijaysing Valvi,MALE,INC,86510,430,86940,41.32%,320555,
2,Shahada ,3 Eng.Jelsing Bijala Pawara,MALE,IND,20853,160,21013,9.99%,320555,
2,Shahada ,4 Mali Jaysing Devchand,MALE,CPIM,4052,8,4060,1.93%,320555,
2,Shahada ,5 NOTA,,NOTA,3443,6,3449,1.64%,320555,
 TOTAL : ,,,,,209263,1130,210393,65.63%,,
3,Nandurbar ,1 VIJAYKUMAR KRUSHNARAO GAVIT,MALE,BJP,120825,780,121605,64.52%,339098,
3,Nandurbar ,2 UDESING KOCHARU PADVI,MALE,INC,50955,254,51209,27.17%,339098,
3,Nandurbar ,3 DIPA SHAMSHON VALVI,FEMALE,VBA,6683,51,6734,3.57%,339098,
3,Nandurbar ,4 NOTA,,NOTA,3497,24,3521,1.87%,339098,
3,Nandurbar ,5 ANANDA SUKALAL KOLI,MALE,IND,2040,7,2047,1.09%,339098,
3,Nandurbar ,6 VIPUL RAMSING VASAVE,MALE,BSP,1921,4,1925,1.02%,339098,
3,Nandurbar ,7 Adv.PRAKASH MOHAN GANGURDE,MALE,SWP,1437,11,1448,0.77%,339098,
 TOTAL : ,,,,,187358,1131,188489,55.59%,,
4,Nawapur ,1 Naik Shirishkumar Surupsing,MALE,INC,74395,257,74652,34.30%,287977,
4,Nawapur ,2 Sharad Krushnarao Gavit,MALE,IND,63240,77,63317,29.09%,287977,
4,Nawapur ,3 Gavit Bharat Manikrao,MALE,BJP,58342,237,58579,26.91%,287977,
4,Nawapur ,4 Dr. Ulhas Jayant Vasave,MALE,BTP,5969,40,6009,2.76%,287977,
4,Nawapur ,5 Jagan Hurji Gavit,MALE,VBA,5458,4,5462,2.51%,287977,
4,Nawapur ,6 NOTA,,NOTA,4949,1,4950,2.27%,287977,
4,Nawapur ,7 Dr. Rakesh Rajya Gavit,MALE,IND,1286,,1286,0.59%,287977,
4,Nawapur ,8 Adv. Prakash Mohan Gangurde,MALE,IND,1141,13,1154,0.53%,287977,
4,Nawapur ,9 Arjunsing Diwansing Vasave,MALE,IND,1038,1,1039,0.48%,287977,
4,Nawapur ,10 Ramu Maharya Valvi,MALE,PPID,735,3,738,0.34%,287977,
4,Nawapur ,11 Dr. Sunil Kuthya Gavit,MALE,AAAP,475,2,477,0.22%,287977,
 TOTAL : ,,,,,217028,635,217663,75.58%,,
5,Sakri ,1 Manjula Tulshiram Gavit,FEMALE,IND,75738,428,76166,36.60%,342992,
5,Sakri ,2 Mohan Gokul Suryawanshi,MALE,BJP,68498,403,68901,33.11%,342992,
5,Sakri ,3 Dhanaji Sitaram Ahire,MALE,INC,25187,115,25302,12.16%,342992,
5,Sakri ,4 Yashwant Devman Malache,MALE,VBA,14006,26,14032,6.74%,342992,
5,Sakri ,5 Rajkumar Pandit Sonawane,MALE,IND,9055,3,9058,4.35%,342992,
5,Sakri ,6 NOTA,,NOTA,4140,7,4147,1.99%,342992,
5,Sakri ,7 Nandu Rajaram Malache,MALE,BTP,3742,1,3743,1.80%,342992,
5,Sakri ,8 Hiraman Deva Sabale,MALE,IND,2865,7,2872,1.38%,342992,
5,Sakri ,9 Rangnath Rama Bhavare,MALE,BSP,2274,2,2276,1.09%,342992,
5,Sakri ,10 Chaure Sandip Shantaraam,MALE,IND,1598,3,1601,0.77%,342992,
 TOTAL : ,,,,,207103,995,208098,60.67%,,
6,Dhule Rural,1 Kunalbaba Rohidas Patil,MALE,INC,124610,965,125575,51.18%,372989,
6,Dhule Rural,2 Maisaheb Dnyanjyoti Manohar Patil,FEMALE,BJP,110555,456,111011,45.25%,372989,
6,Dhule Rural,3 Rajdip Bhatu Agale,MALE,VBA,4199,17,4216,1.72%,372989,
6,Dhule Rural,4 NOTA,,NOTA,2239,9,2248,0.92%,372989,
6,Dhule Rural,5 Baisane Nandu Sukdeo,MALE,BSP,1468,3,1471,0.60%,372989,
6,Dhule Rural,6 Dr. Bhupesh Prakash Patil,MALE,IND,826,,826,0.34%,372989,
 TOTAL : ,,,,,243897,1450,245347,65.78%,,
7,Dhule City,1 Shah Faruk Anwar,MALE,AIMIM,46597,82,46679,28.93%,322026,
7,Dhule City,2 Rajwardhan Raghujirao Kadambande (Rajubaba),MALE,IND,42973,399,43372,26.88%,322026,
7,Dhule City,3 Anil Anna Gote,MALE,LKSGM,42056,376,42432,26.30%,322026,
7,Dhule City,4 Hilal Lala Mali,MALE,SHS,22267,160,22427,13.90%,322026,
7,Dhule City,5 NOTA,,NOTA,1366,5,1371,0.85%,322026,
7,Dhule City,6 Ravindra Suresh Damodar,MALE,BSP,1256,8,1264,0.78%,322026,
7,Dhule City,7 Mayur Devidas Ahirrao,MALE,IND,1033,1,1034,0.64%,322026,
7,Dhule City,8 Gorakh Babanlal Sharma,MALE,IND,897,,897,0.56%,322026,
7,Dhule City,9 Mansuri Asif Inayat,MALE,SP,798,2,800,0.50%,322026,
7,Dhule City,10 Kulkarni Prachi Girish,FEMALE,MNS,694,6,700,0.43%,322026,
7,Dhule City,11 Hemlata Sunil Sonawane,FEMALE,IND,366,,366,0.23%,322026,
 TOTAL : ,,,,,160303,1039,161342,50.10%,,
8,Shindkheda,1 Jaykumar Jitendrasinh Rawal,MALE,BJP,113042,767,113809,56.74%,327082,
8,Shindkheda,2 Bedse Sandeep Tryambakrao,MALE,NCP,70512,382,70894,35.35%,327082,
8,Shindkheda,3 Shanabhau Rambhau Sonawane,MALE,IND,9346,12,9358,4.67%,327082,
8,Shindkheda,4 Namdeo Rohidas Yelave,MALE,VBA,2014,11,2025,1.01%,327082,
8,Shindkheda,5 NOTA,,NOTA,1815,1,1816,0.91%,327082,
8,Shindkheda,6 Narendra Dharma Patil (Salunkhe),MALE,MNS,1178,7,1185,0.59%,327082,
