Constituencies, CANDIDATE NAME , PARTY , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
Akkalkuwa,3 NAGESH DILVARSING PADVI,IND,21664,41.26%,278888,
Akkalkuwa,4 NOTA,NOTA,4857,40.21%,278888,
Akkalkuwa,5 ADV. KAILAS PRATAPSING VASAVE,AAAP,4055,10.80%,278888,
Akkalkuwa,6 BHARAT JALYA PAWARA,IND,3784,2.42%,278888,
Akkalkuwa,7 DR.SANJAY RAVLYA VALVI,BTP,2824,2.02%,278888,
Akkalkuwa,TOTAL,NA,200628,1.89%,NA,
Shahada,1 Rajesh Udesing Padvi,BJP,94931,1.41%,320555,
Shahada,2 Adv.Padmakar Vijaysing Valvi,INC,86940,71.94%,320555,
Shahada,3 Eng.Jelsing Bijala Pawara,IND,21013,45.12%,320555,
Shahada,4 Mali Jaysing Devchand,CPIM,4060,41.32%,320555,
Shahada,5 NOTA,NOTA,3449,9.99%,320555,
Shahada,TOTAL,NA,210393,1.93%,NA,
Nandurbar,1 VIJAYKUMAR KRUSHNARAO GAVIT,BJP,121605,1.64%,339098,
Nandurbar,2 UDESING KOCHARU PADVI,INC,51209,65.63%,339098,
Nandurbar,3 DIPA SHAMSHON VALVI,VBA,6734,64.52%,339098,
Nandurbar,4 NOTA,NOTA,3521,27.17%,339098,
Nandurbar,5 ANANDA SUKALAL KOLI,IND,2047,3.57%,339098,
Nandurbar,6 VIPUL RAMSING VASAVE,BSP,1925,1.87%,339098,
Nandurbar,7 Adv.PRAKASH MOHAN GANGURDE,SWP,1448,1.09%,339098,
Nandurbar,TOTAL,NA,188489,1.02%,NA,
Nawapur,1 Naik Shirishkumar Surupsing,INC,74652,0.77%,287977,
Nawapur,2 Sharad Krushnarao Gavit,IND,63317,55.59%,287977,
Nawapur,3 Gavit Bharat Manikrao,BJP,58579,34.30%,287977,
Nawapur,4 Dr. Ulhas Jayant Vasave,BTP,6009,29.09%,287977,
Nawapur,5 Jagan Hurji Gavit,VBA,5462,26.91%,287977,
Nawapur,6 TOTAL,NOTA,4950,2.76%,287977,
Nawapur,7 Dr. Rakesh Rajya Gavit,IND,1286,2.51%,287977,
Nawapur,8 Adv. Prakash Mohan Gangurde,IND,1154,2.27%,287977,
Nawapur,9 Arjunsing Diwansing Vasave,IND,1039,0.59%,287977,
Nawapur,10 Ramu Maharya Valvi,PPID,738,0.53%,287977,
Nawapur,11 Dr. Sunil Kuthya Gavit,AAAP,477,0.48%,287977,
Nawapur,TOTAL,NA,217663,0.34%,NA,
Sakri,1 Manjula Tulshiram Gavit,IND,76166,0.22%,342992,
Sakri,2 Mohan Gokul Suryawanshi,BJP,68901,75.58%,342992,
Sakri,3 Dhanaji Sitaram Ahire,INC,25302,36.60%,342992,
Sakri,4 Yashwant Devman Malache,VBA,14032,33.11%,342992,
Sakri,5 Rajkumar Pandit Sonawane,IND,9058,12.16%,342992,
Sakri,6 TOTAL,NOTA,4147,6.74%,342992,
Sakri,7 Nandu Rajaram Malache,BTP,3743,4.35%,342992,
Sakri,8 Hiraman Deva Sabale,IND,2872,1.99%,342992,
Sakri,9 Rangnath Rama Bhavare,BSP,2276,1.80%,342992,
Sakri,10 Chaure Sandip Shantaraam,IND,1601,1.38%,342992,
Sakri,TOTAL,NA,208098,1.09%,NA,
Dhule Rural,1 Kunalbaba Rohidas Patil,INC,125575,0.77%,372989,
Dhule Rural,2 Maisaheb Dnyanjyoti Manohar Patil,BJP,111011,60.67%,372989,
Dhule Rural,3 Rajdip Bhatu Agale,VBA,4216,51.18%,372989,
Dhule Rural,4 NOTA,NOTA,2248,45.25%,372989,
Dhule Rural,5 Baisane Nandu Sukdeo,BSP,1471,1.72%,372989,
Dhule Rural,6 Dr. Bhupesh Prakash Patil,IND,826,0.92%,372989,
Dhule Rural,TOTAL,NA,245347,0.60%,NA,
Dhule City,1 Shah Faruk Anwar,AIMIM,46679,0.34%,322026,
Dhule City,2 Rajwardhan Raghujirao Kadambande (Rajubaba),IND,43372,65.78%,322026,
Dhule City,3 Anil Anna Gote,LKSGM,42432,28.93%,322026,
Dhule City,4 Hilal Lala Mali,SHS,22427,26.88%,322026,
Dhule City,5 NOTA,NOTA,1371,26.30%,322026,
Dhule City,6 Ravindra Suresh Damodar,BSP,1264,13.90%,322026,
Dhule City,7 Mayur Devidas Ahirrao,IND,1034,0.85%,322026,
Dhule City,8 Gorakh Babanlal Sharma,IND,897,0.78%,322026,
Dhule City,9 Mansuri Asif Inayat,SP,800,0.64%,322026,
Dhule City,10 Kulkarni Prachi Girish,MNS,700,0.56%,322026,
Dhule City,11 Hemlata Sunil Sonawane,IND,366,0.50%,322026,
Dhule City,TOTAL,NA,161342,0.43%,NA,
Shindkheda,1 Jaykumar Jitendrasinh Rawal,BJP,113809,0.23%,327082,
Shindkheda,2 Bedse Sandeep Tryambakrao,NCP,70894,50.10%,327082,
Shindkheda,3 Shanabhau Rambhau Sonawane,IND,9358,56.74%,327082,
Shindkheda,4 Namdeo Rohidas Yelave,VBA,2025,35.35%,327082,
Shindkheda,5 NOTA,NOTA,1816,4.67%,327082,
Shindkheda,6 Narendra Dharma Patil (Salunkhe),MNS,1185,1.01%,327082,
Shindkheda,7 Bhausaheb Namdeo Pawar,BSP,1005,0.91%,327082,
Shindkheda,8 Salim Kasam Pinjari,IND,476,0.59%,327082,
Shindkheda,TOTAL,NA,200568,0.50%,NA,
Shirpur,1 Kashiram Vechan Pawara,BJP,120403,0.24%,320802,
Shirpur,2 Dr. Jitendra Yuvraj Thakur,IND,71229,61.32%,320802,
Shirpur,3 Ranjitsingh Bharatsingh Pawara,INC,7754,56.77%,320802,
Shirpur,4 NOTA,NOTA,3828,33.58%,320802,
Shirpur,5 Prof.Motilal Damu Sonawane,VBA,3534,3.66%,320802,
Shirpur,6 Er. Vikas Kalidas Saindane,CPI,2127,1.80%,320802,
Shirpur,7 Kishor Daulat Bhil,MEP,1860,1.67%,320802,
Shirpur,8 Sukram Onkar Pawara,BSP,1357,1.00%,320802,
Shirpur,TOTAL,NA,212092,0.88%,NA,
Chopda,1 LATABAI CHANDRAKANT SONAWANE,SHS,78137,0.64%,308441,
Chopda,2 JAGDISHCHANDRA RAMESH VALVI,NCP,57608,66.11%,308441,
Chopda,3 PRABHAKARAPPA GOTU SONAWANE,IND,32459,39.18%,308441,
Chopda,4 DR. BARELA  CHANDRAKANT JAMSING,IND,17085,28.89%,308441,
Chopda,5 ADV. YAKUB  SAHEBU TADAVI,BSP,5369,16.28%,308441,
Chopda,6 MADHURI KISHOR PATIL,IND,4288,8.57%,308441,
Chopda,7 NOTA,NOTA,2175,2.69%,308441,
Chopda,8 ISHWARLAL SURESH KOLI (ALIAS NILESH SURESH KOLI),IND,1529,2.15%,308441,
Chopda,9 DAGDU FATTU TADAVI,IND,768,1.09%,308441,
Chopda,TOTAL,NA,199418,0.77%,NA,
Raver,1 CHAUDHARI SHIRISH MADHUKARRAO,INC,77941,0.39%,293382,
Raver,2 HARIBHAU MADHAV JAWALE,BJP,62332,64.65%,293382,
Raver,3 ANIL CHABILDAS CHAWADARI,IND,44841,38.32%,293382,
Raver,4 HAJI SAYAD MUSHTAK SAYAD KAMARUDDIN,VBA,6707,30.65%,293382,
Raver,5 VIVEK DEVIDAS THAKARE (BAPU DHOBI),AIMIM,3545,22.05%,293382,
Raver,6 GAYASODDIN SADARODDIN KAZI,IND,2693,3.30%,293382,
Raver,7 NOTA,NOTA,1946,1.74%,293382,
Raver,8 D. D. WANI (PHOTOGRAPHER),IND,1333,1.32%,293382,
Raver,9 SANTOSH MADHUKAR DHIVARE,BSP,1104,0.96%,293382,
Raver,10 RAJARAM MADHAV SONAR,IND,493,0.66%,293382,
Raver,11 SANJAY HAMID TADVI,IND,461,0.54%,293382,
Raver,TOTAL,NA,203396,0.24%,NA,
Bhusawal,1 Sanjay Waman Sawkare,BJP,81689,0.23%,307797,
Bhusawal,2 Dr. Madhu Rajesh Manawatkar,IND,28675,69.33%,307797,
Bhusawal,3 Jagan Deoram Sonawane,NCP,20245,54.22%,307797,
Bhusawal,4 Sunil Dada Surwade,VBA,6868,19.03%,307797,
Bhusawal,5 NOTA,NOTA,3277,13.44%,307797,
